   0.3000  0.139702E+01  -.203919E+00  0.14596685
   0.3050  0.138309E+01  -.200264E+00  0.14479460
   0.3100  0.136990E+01  -.196503E+00  0.14344311
   0.3150  0.135732E+01  -.192756E+00  0.14201247
   0.3200  0.134538E+01  -.188939E+00  0.14043506
   0.3250  0.133407E+01  -.185072E+00  0.13872665
   0.3300  0.132337E+01  -.181174E+00  0.13690391
   0.3350  0.131329E+01  -.177186E+00  0.13491712
   0.3400  0.130377E+01  -.173209E+00  0.13285274
   0.3450  0.129472E+01  -.169329E+00  0.13078389
   0.3500  0.128618E+01  -.165478E+00  0.12865819
   0.3550  0.127814E+01  -.161598E+00  0.12643246
   0.3600  0.127056E+01  -.157775E+00  0.12417792
   0.3650  0.126341E+01  -.154014E+00  0.12190338
   0.3700  0.125668E+01  -.150319E+00  0.11961524
   0.3750  0.125031E+01  -.146745E+00  0.11736705
   0.3800  0.124432E+01  -.143242E+00  0.11511679
   0.3850  0.123873E+01  -.139772E+00  0.11283441
   0.3900  0.123349E+01  -.136386E+00  0.11056856
   0.3950  0.122858E+01  -.133081E+00  0.10832127
   0.4000  0.122398E+01  -.129861E+00  0.10609781
   0.4050  0.121961E+01  -.126726E+00  0.10390708
   0.4100  0.121551E+01  -.123673E+00  0.10174547
   0.4150  0.121167E+01  -.120703E+00  0.09961746
   0.4200  0.120807E+01  -.117815E+00  0.09752347
   0.4250  0.120476E+01  -.115007E+00  0.09546088
   0.4300  0.120169E+01  -.112278E+00  0.09343326
   0.4350  0.119876E+01  -.109625E+00  0.09144858
   0.4400  0.119608E+01  -.107047E+00  0.08949842
   0.4450  0.119359E+01  -.104544E+00  0.08758775
   0.4500  0.119132E+01  -.102111E+00  0.08571241
   0.4550  0.118926E+01  -.997023E-01  0.08383549
   0.4600  0.118743E+01  -.973602E-01  0.08199244
   0.4650  0.118571E+01  -.950824E-01  0.08019004
   0.4700  0.118417E+01  -.928670E-01  0.07842348
   0.4750  0.118279E+01  -.907115E-01  0.07669310
   0.4800  0.118152E+01  -.886153E-01  0.07500108
   0.4850  0.118040E+01  -.865762E-01  0.07334469
   0.4900  0.117941E+01  -.845901E-01  0.07172227
   0.4950  0.117857E+01  -.826594E-01  0.07013534
   0.5000  0.117830E+01  -.807804E-01  0.06855668
   0.5050  0.117874E+01  -.789050E-01  0.06694010
   0.5100  0.118013E+01  -.770779E-01  0.06531295
   0.5150  0.118264E+01  -.752967E-01  0.06366815
   0.5200  0.118627E+01  -.735614E-01  0.06201067
   0.5250  0.119051E+01  -.718697E-01  0.06036887
   0.5300  0.119444E+01  -.702188E-01  0.05878825
   0.5350  0.119742E+01  -.686057E-01  0.05729472
   0.5400  0.119926E+01  -.670311E-01  0.05589388
   0.5450  0.120063E+01  -.654931E-01  0.05454912
   0.5500  0.120135E+01  -.639900E-01  0.05326491
   0.5550  0.120196E+01  -.625032E-01  0.05200105
   0.5600  0.120166E+01  -.610475E-01  0.05080248
   0.5650  0.120047E+01  -.596242E-01  0.04966755
   0.5700  0.119858E+01  -.582313E-01  0.04858364
   0.5750  0.119626E+01  -.568679E-01  0.04753791
   0.5800  0.119432E+01  -.555324E-01  0.04649699
   0.5850  0.119327E+01  -.542269E-01  0.04544374
   0.5900  0.119238E+01  -.529483E-01  0.04440545
   0.5950  0.119210E+01  -.516960E-01  0.04336539
   0.6000  0.119228E+01  -.504694E-01  0.04233007
